date, value
03-01-2000,8.28
04-01-2000,8.28
05-01-2000,8.28
06-01-2000,8.28
07-01-2000,8.28
10-01-2000,8.28
11-01-2000,8.28
12-01-2000,8.28
13-01-2000,8.28
14-01-2000,8.28
18-01-2000,8.28
19-01-2000,8.28
20-01-2000,8.28
21-01-2000,8.28
24-01-2000,8.28
25-01-2000,8.28
26-01-2000,8.28
27-01-2000,8.28
28-01-2000,8.28
31-01-2000,8.28
01-02-2000,8.28
02-02-2000,8.28
03-02-2000,8.28
04-02-2000,8.28
07-02-2000,8.28
08-02-2000,8.28
09-02-2000,8.28
10-02-2000,8.28
11-02-2000,8.28
14-02-2000,8.28
15-02-2000,8.28
16-02-2000,8.28
17-02-2000,8.28
18-02-2000,8.28
22-02-2000,8.28
23-02-2000,8.28
24-02-2000,8.28
25-02-2000,8.28
28-02-2000,8.28
29-02-2000,8.28
01-03-2000,8.28
02-03-2000,8.28
03-03-2000,8.28
06-03-2000,8.28
07-03-2000,8.28
08-03-2000,8.28
09-03-2000,8.28
10-03-2000,8.28
13-03-2000,8.28
14-03-2000,8.28
15-03-2000,8.28
16-03-2000,8.28
17-03-2000,8.28
20-03-2000,8.28
21-03-2000,8.28
22-03-2000,8.28
23-03-2000,8.28
24-03-2000,8.28
27-03-2000,8.28
28-03-2000,8.28
29-03-2000,8.28
30-03-2000,8.28
31-03-2000,8.28
03-04-2000,8.28
04-04-2000,8.28
05-04-2000,8.28
06-04-2000,8.28
07-04-2000,8.28
10-04-2000,8.28
11-04-2000,8.28
12-04-2000,8.28
13-04-2000,8.28
14-04-2000,8.28
17-04-2000,8.28
18-04-2000,8.28
19-04-2000,8.28
20-04-2000,8.28
21-04-2000,8.28
24-04-2000,8.28
25-04-2000,8.28
26-04-2000,8.28
27-04-2000,8.28
28-04-2000,8.28
01-05-2000,8.28
02-05-2000,8.28
03-05-2000,8.28
04-05-2000,8.28
05-05-2000,8.28
08-05-2000,8.28
09-05-2000,8.28
10-05-2000,8.28
11-05-2000,8.28
12-05-2000,8.28
15-05-2000,8.28
16-05-2000,8.28
17-05-2000,8.28
18-05-2000,8.28
19-05-2000,8.28
22-05-2000,8.28
23-05-2000,8.28
24-05-2000,8.28
25-05-2000,8.28
26-05-2000,8.28
30-05-2000,8.28
31-05-2000,8.28
01-06-2000,8.28
02-06-2000,8.28
05-06-2000,8.28
06-06-2000,8.28
07-06-2000,8.28
08-06-2000,8.28
09-06-2000,8.28
12-06-2000,8.28
13-06-2000,8.28
14-06-2000,8.28
15-06-2000,8.28
16-06-2000,8.28
19-06-2000,8.28
20-06-2000,8.28
21-06-2000,8.28
22-06-2000,8.28
23-06-2000,8.28
26-06-2000,8.28
27-06-2000,8.28
28-06-2000,8.28
29-06-2000,8.28
30-06-2000,8.28
03-07-2000,8.28
05-07-2000,8.28
06-07-2000,8.28
07-07-2000,8.28
10-07-2000,8.28
11-07-2000,8.28
12-07-2000,8.28
13-07-2000,8.28
14-07-2000,8.28
17-07-2000,8.28
18-07-2000,8.28
19-07-2000,8.28
20-07-2000,8.28
21-07-2000,8.28
24-07-2000,8.28
25-07-2000,8.28
26-07-2000,8.28
27-07-2000,8.28
28-07-2000,8.28
31-07-2000,8.28
01-08-2000,8.28
02-08-2000,8.28
03-08-2000,8.28
04-08-2000,8.28
07-08-2000,8.28
08-08-2000,8.28
09-08-2000,8.28
10-08-2000,8.28
11-08-2000,8.28
14-08-2000,8.28
15-08-2000,8.28
16-08-2000,8.28
17-08-2000,8.28
18-08-2000,8.28
21-08-2000,8.28
22-08-2000,8.28
23-08-2000,8.28
24-08-2000,8.28
25-08-2000,8.28
28-08-2000,8.28
29-08-2000,8.28
30-08-2000,8.28
31-08-2000,8.28
01-09-2000,8.28
05-09-2000,8.28
06-09-2000,8.28
07-09-2000,8.28
08-09-2000,8.28
11-09-2000,8.28
12-09-2000,8.28
13-09-2000,8.28
14-09-2000,8.28
15-09-2000,8.28
18-09-2000,8.28
19-09-2000,8.28
20-09-2000,8.28
21-09-2000,8.28
22-09-2000,8.28
25-09-2000,8.28
26-09-2000,8.28
27-09-2000,8.28
28-09-2000,8.28
29-09-2000,8.28
02-10-2000,8.28
03-10-2000,8.28
04-10-2000,8.28
05-10-2000,8.28
06-10-2000,8.28
10-10-2000,8.28
11-10-2000,8.28
12-10-2000,8.28
13-10-2000,8.28
16-10-2000,8.28
17-10-2000,8.28
18-10-2000,8.28
19-10-2000,8.28
20-10-2000,8.28
23-10-2000,8.28
24-10-2000,8.28
25-10-2000,8.28
26-10-2000,8.28
27-10-2000,8.28
30-10-2000,8.28
31-10-2000,8.28
01-11-2000,8.28
02-11-2000,8.28
03-11-2000,8.28
06-11-2000,8.28
07-11-2000,8.28
08-11-2000,8.28
09-11-2000,8.28
